#SourceId,RA[deg],Dec[deg],Remarks
GaiaDR3-ULENS-002,258.0717,-16.8677,AP29744086 
GaiaDR3-ULENS-003,284.4367,-20.7758,AP28506888 
GaiaDR3-ULENS-007,270.2540,-32.6896,OGLE-2015-BLG-0064 AP27808437 
GaiaDR3-ULENS-013,274.7611,-27.7294,OGLE-2015-BLG-1755 
GaiaDR3-ULENS-018,271.1194,-29.8162,BLG513.19.77649 OGLE-2016-BLG-1396 KMT-2016-BLG-0738 
GaiaDR3-ULENS-021,264.6744,-35.5067,OGLE-2016-BLG-0357 
GaiaDR3-ULENS-023,191.5840,-58.8941,GD2233.02.17021 ASASSN-16oe 
GaiaDR3-ULENS-025,260.8781,-27.3788,BLG921.22.94 
GaiaDR3-ULENS-030,273.1547,-27.8870,BLG523.06.68137 OGLE-2014-BLG-1948 MOA-2014-BLG-594 
GaiaDR3-ULENS-032,71.4941,8.2457,ASASSN-V J044558.57+081444.6 
GaiaDR3-ULENS-035,267.9705,-34.9749,OGLE-2015-BLG-0128 MOA-2015-BLG-004 
GaiaDR3-ULENS-037,269.7853,-31.5970,BLG507.19.46958 OGLE-2017-BLG-0033 
GaiaDR3-ULENS-043,270.1778,-35.1541,OGLE-2015-BLG-0145 
GaiaDR3-ULENS-047,268.0851,-31.2950,KMT-2015-BLG-0157 
GaiaDR3-ULENS-050,271.0991,-27.3204,OGLE-2014-BLG-1991 
GaiaDR3-ULENS-054,278.4208,-23.2662,MOA-2015-BLG-033 
GaiaDR3-ULENS-057,283.5814,-4.6657, ASASSN-V J185419.54-043956.5 
GaiaDR3-ULENS-059,264.8862,-35.1860,OGLE-2015-BLG-1466 
GaiaDR3-ULENS-062,247.0983,-53.1455,GD1127.32.33414 
GaiaDR3-ULENS-066,272.9184,-31.3253,BLG526.16.27934 OGLE-2015-BLG-0862 
GaiaDR3-ULENS-067,270.2882,-32.5577,OGLE-2015-BLG-0149 KMT-2016-BLG-1533 
GaiaDR3-ULENS-069,269.0712,-32.4500,MOA-2015-BLG-158 KMT-2016-BLG-1346 
GaiaDR3-ULENS-073,272.4690,-30.0406,OGLE-2015-BLG-1579 MOA-2015-BLG-398 
GaiaDR3-ULENS-074,264.1271,-42.2729,BLG935.14.35174 
GaiaDR3-ULENS-078,270.9848,-33.6994,BLG516.11.82635 OGLE-2014-BLG-1945 
GaiaDR3-ULENS-079,271.8932,-29.7382,OGLE-2015-BLG-0729 MOA-2015-BLG-167 KMT-2015-BLG-0615 
GaiaDR3-ULENS-081,288.5624,2.9221,DG1068.02.19241 
GaiaDR3-ULENS-088,268.1614,-32.4896,OGLE-2016-BLG-0293 MOA-2016-BLG-147 KMT-2016-BLG-1296 
GaiaDR3-ULENS-089,270.4467,-26.5331,OGLE-2016-BLG-0985 KMT-2016-BLG-1569 
GaiaDR3-ULENS-091,272.0506,-24.9464,OGLE-2015-BLG-2112 MOA-2016-BLG-031 KMT-2016-BLG-0259 
GaiaDR3-ULENS-094,264.9521,-33.8110,BLG661.12.38593 OGLE-2016-BLG-1299 KMT-2016-BLG-1101 
GaiaDR3-ULENS-095,256.2886,-31.8476,BLG897.28.315 
GaiaDR3-ULENS-097,267.5594,-23.6717,BLG639.30.78829 OGLE-2017-BLG-0260 
GaiaDR3-ULENS-099,250.5038,-48.4425,GD1108.21.19118 
GaiaDR3-ULENS-101,274.5941,-22.5707,BLG527.30.75497 OGLE-2014-BLG-1587 MOA-2014-BLG-528 
GaiaDR3-ULENS-103,249.8323,-40.8217,GD1102.30.23357 
GaiaDR3-ULENS-105,274.2544,-31.3835,Gaia17bej 
GaiaDR3-ULENS-108,267.7089,-35.9484,BLG599.22.1393 OGLE-2015-BLG-0233 
GaiaDR3-ULENS-111,283.2161,-5.0419,DG1029.23.41205 
GaiaDR3-ULENS-118,99.4167,13.9551,GD1793.08.3677 ASASSN-16li 
GaiaDR3-ULENS-121,265.3546,-33.5246,BLG661.19.35266 OGLE-2015-BLG-0224 
GaiaDR3-ULENS-122,158.7228,-60.8680,GD1382.18.3097 
GaiaDR3-ULENS-124,267.3610,-23.3559,BLG638.06.43147 OGLE-2015-BLG-0183 
